,class_0_loss,class_1_draw,class_2_win,abs_mean_coef
rating_delta,-0.8795378567122408,0.02588570387344964,0.8536521528387919,0.5863585711414941
m_prev_win_rate_delta,-0.10762036144547975,0.18364809047839234,-0.07602772903291345,0.1224320603189285
m_prev_score_rate_delta,0.118608495345196,-0.16682878711185958,0.04822029176666307,0.11121919140790622
rd_delta,-0.051942958609070514,0.007950816712275573,0.04399214189679529,0.03462863907271379
